brand,product,processor,ram_gb,gpu,os,screen_size,price,Cpu_brand,Gpu_brand,hdd,ssd,LogPrice,storage_gb,weight_kg,total_pixels,ppi,processor_score,gpu_score,performance_score,portability_score,value_score,is_gaming,is_ultraportable,brand_encoded,product_encoded,processor_encoded,gpu_encoded,os_encoded,Cpu_brand_encoded,Gpu_brand_encoded
MSI,Modern 14 C11M-031IN Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,14.0,33990,"Dual Core,",Intel,0,512,10.43382164,512,2.0,2073600,102.85714285714286,3,2,2.3000000000000003,6.0,0.6766696087084437,0,0,15,395,17,112,12,10,17
Infinix,Zerobook 2023 Laptop,"14 Cores (6P + 8E), 20 Threads",32,Intel Integrated Iris Xe,Windows 11 OS,15.6,79990,14 Cores,Intel,0,1000,11.28965691,1000,2.0,2073600,92.3076923076923,9,2,5.68828125,6.0,0.7111240467558445,0,0,12,809,8,111,12,3,17
HP,Victus 15-fa0666TX Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,68990,Octa Core,4GB,0,512,11.14171685,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.833454123786056,1,0,9,630,22,33,12,13,8
Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,"Quad Core, 8 Threads",8,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,45990,"Quad Core,",4GB,0,512,10.73617926,512,2.0,2073600,92.3076923076923,5,4,3.7,6.0,0.8045227223309415,1,0,14,248,28,27,12,16,8
Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Vega 7,Windows 11 OS,16.0,49900,"Hexa Core,",AMD,0,512,10.81777628,512,2.0,2073600,90.0,6,3,3.8000000000000003,6.0,0.7615230460921844,0,0,3,706,19,85,12,12,12
Apple,MacBook Air 2022 Laptop,Octa Core (4P + 4E),8,8-Core GPU,Mac OS,13.6,104990,Octa Core,8-Core,0,256,11.56162039,256,2.0,2073600,105.88235294117648,8,3,4.475,6.0,0.4262310696256786,0,0,2,379,21,57,7,13,10
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,54990,Octa Core,4GB,0,512,10.91490663,512,2.0,2073600,92.3076923076923,8,5,5.45,6.0,0.9910892889616295,1,0,1,99,22,31,12,13,8
HP,15s-fq2510tu Laptop,"Quad Core, 8 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,15.6,49580,"Quad Core,",Intel,0,512,10.81134281,512,2.0,2073600,92.3076923076923,5,2,3.35,6.0,0.6756756756756757,0,0,9,31,28,123,12,16,17
Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,"Octa Core, 16 Threads",16,AMD Radeon Vega 7,Windows 11 OS,16.0,55990,"Octa Core,",AMD,0,512,10.93292838,512,2.0,2073600,90.0,8,3,4.85,6.0,0.8662261118056795,0,0,3,708,24,85,12,14,12
HP,15s-eq2132AU Laptop,"Hexa Core, 12 Threads",16,AMD Radeon AMD,Windows 11 OS,15.6,43990,"Hexa Core,",AMD,0,512,10.69171761,512,2.0,2073600,92.3076923076923,6,3,4.050000000000001,6.0,0.9206637872243694,0,0,9,26,19,79,12,12,12
HP,255 G9 840T7PA Laptop,"Dual Core, 2 Threads",4,AMD Integrated,DOS OS,15.6,19850,"Dual Core,",AMD,0,256,9.895959286,256,2.0,2073600,92.3076923076923,3,2,2.0500000000000003,6.0,1.0327455919395467,0,0,9,58,16,70,3,10,12
Acer,Extensa 15 EX215-33 2023 Laptop,"Octa Core, 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,28990,"Octa Core,",Intel,0,512,10.27470622,512,2.0,2073600,92.3076923076923,8,2,4.300000000000001,6.0,1.4832700931355642,0,0,1,156,25,112,12,14,17
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,54999,12 Cores,4GB,0,512,10.91507028,512,2.0,2073600,92.3076923076923,8,5,5.45,6.0,0.9909271077655958,1,0,1,88,6,31,12,2,8
Dell,Inspiron 3530 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,15.6,70990,10 Cores,Intel,0,512,11.1702943,512,2.0,2073600,92.3076923076923,7,2,4.15,6.0,0.5845893787857445,0,0,6,312,1,126,12,0,17
Lenovo,IdeaPad Gaming 3 82SB00V2IN Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,56889,"Hexa Core,",4GB,0,512,10.94885728,512,2.0,2073600,92.3076923076923,6,6,4.7,6.0,0.8261702613862082,1,0,14,259,19,33,12,12,8
Acer,Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,"24 Cores (8P + 16E), 32 Threads",16,8GB NVIDIA GeForce RTX 4070,Windows 11 OS,16.0,179880,24 Cores,8GB,0,1000,12.10004524,1000,2.0,2073600,90.0,5,8,5.38828125,6.0,0.29954865743829223,1,0,1,476,14,64,12,8,11
HP,Victus 15-fb0150AX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB AMD Radeon RX 6500M Graphics,Windows 11 OS,15.6,53790,"Hexa Core,",4GB,0,512,10.89284286,512,2.0,2073600,92.3076923076923,6,5,4.65,6.0,0.864472950362521,1,0,9,646,19,20,12,12,8
Acer,Aspire Lite AL15 Laptop,"Hexa Core, 12 Threads",16,AMD Graphics,Windows 11 OS,15.6,37990,"Hexa Core,",AMD,0,512,10.54507825,512,2.0,2073600,92.3076923076923,6,3,4.050000000000001,6.0,1.0660700184259018,0,0,1,102,19,69,12,12,12
Acer,Nitro 5 AN515-58 NH.QFSSI.001 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,8GB NVIDIA GeForce RTX 3070 Ti,Windows 11 OS,15.6,96990,10 Cores,8GB,0,1000,11.48236316,1000,2.0,2073600,92.3076923076923,7,8,6.18828125,6.0,0.6380329157645118,1,0,1,410,2,60,12,0,11
HP,Pavilion 15-eg3081TU Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Integrated,Windows 11 OS,15.6,71990,12 Cores,Intel,0,512,11.1842825,512,2.0,2073600,92.3076923076923,8,2,4.550000000000001,6.0,0.6320322266981526,0,0,9,458,6,105,12,2,17
HP,Victus 16-d0333TX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,16.1,59990,"Hexa Core,",4GB,0,512,11.00193316,512,2.0,2073600,89.44099378881987,6,4,4.3500000000000005,6.0,0.7251208534755794,1,0,9,658,19,27,12,12,8
Lenovo,IdeaPad Slim 5 14IAH8 83BF0045IN Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel Graphics,Windows 11 OS,14.0,62990,Octa Core,Intel,0,1000,11.05073126,1000,2.0,2073600,102.85714285714286,8,2,4.788281250000001,6.0,0.7601653040165106,0,0,14,275,22,98,12,13,17
Infinix,INBook X3 Slim XL422 2023 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated Iris Xe,Windows 11 OS,14.0,30990,Hexa Core,Intel,0,512,10.34141985,512,2.0,2073600,102.85714285714286,6,2,3.5000000000000004,6.0,1.1293965795417877,0,0,12,211,18,111,12,11,17
Lenovo,LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,74990,Octa Core,6GB,0,512,11.22511005,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.766768902520336,1,0,14,350,22,50,12,13,9
HP,15s-fr2515TU Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,36490,"Dual Core,",Intel,0,512,10.50479353,512,2.0,2073600,92.3076923076923,3,2,2.3000000000000003,6.0,0.6303096738832558,0,0,9,41,17,126,12,10,17
Dell,G15-5520 2023 Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,77990,12 Cores,4GB,0,1000,11.26433589,1000,2.0,2073600,92.3076923076923,8,6,5.98828125,6.0,0.7678268047185536,1,0,6,162,6,33,12,2,8
Samsung,Galaxy Book2 NP550XED-KA2IN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,54990,10 Cores,Intel,0,512,10.91490663,512,2.0,2073600,92.3076923076923,7,2,4.15,6.0,0.7546826695762867,0,0,21,197,1,112,12,0,17
Lenovo,IdeaPad 3 15IAU7 82RK00WXIN Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics ,Windows 11 OS,15.6,41190,Hexa Core,Intel,0,256,10.62595079,256,2.0,2073600,92.3076923076923,6,2,3.3750000000000004,6.0,0.8193736343772762,0,0,14,224,18,127,12,11,17
Asus,ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16.0,89990,10 Cores,6GB,0,512,11.40745383,512,2.0,2073600,90.0,7,6,5.35,6.0,0.5945105011667963,1,0,3,498,2,50,12,0,9
Lenovo,Legion 9i 2023 Laptop,"24 Cores (8P + 16E), 32 Threads",32,16GB NVIDIA GeForce RTX 4090,Windows 11 OS,16.0,399999,24 Cores,16GB,0,1000,12.89921733,1000,2.0,2073600,90.0,5,10,6.48828125,6.0,0.16220743676859192,1,0,14,362,14,7,12,8,3
Wings,Nuvobook V1 Laptop,"Quad Core, 8 Threads",8,Intel Graphics,Windows 11 OS,15.6,31990,"Quad Core,",Intel,0,512,10.37317863,512,2.0,2073600,92.3076923076923,5,2,3.1,6.0,0.9690528290090654,0,0,26,416,28,98,12,16,17
Dell,Inspiron 3525 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Radeon Graphics,Windows 11 OS,15.6,31490,"Quad Core,",AMD,0,512,10.35742531,512,2.0,2073600,92.3076923076923,5,3,3.4,6.0,1.0797078437599237,0,0,6,306,28,83,12,16,12
HP,Victus 15-fa0555TX  Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,70590,Octa Core,4GB,0,512,11.16464377,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.8145629692591019,1,0,9,629,22,33,12,13,8
Asus,TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop,"14 Cores (6P + 8E), 20 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,104990,14 Cores,8GB,0,512,11.56162039,512,2.0,2073600,92.3076923076923,9,8,6.75,6.0,0.642918373178398,1,0,3,535,8,63,12,3,11
Lenovo,V15 82QYA00MIN Laptop,"Dual Core, 2 Threads",8,Intel Integrated Intel UHD Graphics,Windows 11 OS,15.6,23990,"Dual Core,",Intel,0,256,10.08539236,256,2.0,2073600,92.3076923076923,3,2,2.1750000000000003,6.0,0.9066277615673198,0,0,14,606,16,109,12,10,17
HP,255 G9 7B1L8PA Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,37999,"Hexa Core,",AMD,0,512,10.54531512,512,2.0,2073600,92.3076923076923,6,3,3.8000000000000003,6.0,1.0000263164820127,0,0,9,56,19,80,12,12,12
Honor,MagicBook X14 2023 ‎FRI-F56 Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,14.0,52990,Octa Core,Intel,0,512,10.8778585,512,2.0,2073600,102.85714285714286,8,2,4.550000000000001,6.0,0.8586525759577279,0,0,10,387,22,126,12,13,17
Lenovo,V15 82KDA01BIH Laptop,"Quad Core, 8 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,30849,"Quad Core,",AMD,0,512,10.33685961,512,2.0,2073600,92.3076923076923,5,3,3.4,6.0,1.1021426950630488,0,0,14,604,28,80,12,16,12
HP,Victus 15-fa0070TX Laptop,"Octa Core (4P + 4E), 12 Threads",8,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,58990,Octa Core,4GB,0,512,10.98512322,512,2.0,2073600,92.3076923076923,8,4,4.9,6.0,0.8306492625868792,1,0,9,628,22,27,12,13,8
Zebronics,ZEB-NBC 2S Laptop,"Quad Core, 8 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,34990,"Quad Core,",Intel,0,512,10.46281759,512,2.0,2073600,92.3076923076923,5,2,3.35,6.0,0.9574164046870535,0,0,28,795,28,112,12,16,17
Lenovo,ThinkBook 15 Gen 5 21JF0026MJ Laptop,"Octa Core, 16 Threads",16,AMD Radeon AMD,Windows 11 OS,16.0,49990,"Octa Core,",AMD,0,512,10.81957826,512,2.0,2073600,90.0,8,3,4.85,6.0,0.9701940388077616,0,0,14,568,24,79,12,14,12
HP,15S-FQ5202TU Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,51780,10 Cores,Intel,0,512,10.85475925,512,2.0,2073600,92.3076923076923,7,2,3.9000000000000004,6.0,0.7531865585168019,0,0,9,19,1,123,12,0,17
Asus,TUF Gaming F15 FX506HE-HN382W Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,15.6,68990,"Octa Core,",4GB,0,512,11.14171685,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.833454123786056,1,0,3,538,24,37,12,14,8
Asus,TUF Gaming F15 FX577ZC-HN192W Gaming Laptop,"14 Cores, 20 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,85990,"14 Cores,",4GB,0,1000,11.36198629,1000,2.0,2073600,92.3076923076923,9,6,6.38828125,6.0,0.7429097860216305,1,0,3,544,9,33,12,4,8
Lenovo,LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,96990,10 Cores,6GB,0,512,11.48236316,512,2.0,2073600,92.3076923076923,7,7,5.65,6.0,0.5825342818847304,1,0,14,348,2,53,12,0,9
Lenovo,Legion Y9000X 2023 Laptop,"14 Cores (6P + 8E), 20 Threads",32,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16.0,148990,14 Cores,8GB,0,1000,11.91163447,1000,2.0,2073600,90.0,9,8,7.48828125,6.0,0.5026029431505471,1,0,14,373,8,63,12,3,11
Asus,TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,17.3,72990,12 Cores,4GB,0,512,11.19807772,512,2.0,2073600,83.23699421965317,8,6,5.75,6.0,0.7877791478284696,1,0,3,547,6,33,12,2,8
Dell,Inspiron 5430 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14.0,84490,12 Cores,Intel,0,1000,11.34438846,1000,2.0,2073600,102.85714285714286,8,2,4.788281250000001,6.0,0.5667275713102143,0,0,6,325,6,123,12,2,17
Asus,Vivobook 15 X1502ZA-EJ741WS Laptop,"10 Cores (6P + 4E), 16 Threads",16,Intel Iris Xe,Windows 11 OS,15.6,60990,10 Cores,Intel,0,512,11.0184652,512,2.0,2073600,92.3076923076923,7,2,4.15,6.0,0.6804394162977537,0,0,3,691,2,121,12,0,17
Infinix,INBook X2 Slim Series XL23 Laptop,"Quad Core, 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14.0,33990,"Quad Core,",Intel,0,512,10.43382164,512,2.0,2073600,102.85714285714286,5,2,3.35,6.0,0.9855839952927332,0,0,12,209,28,111,12,16,17
Asus,VivoBook 14 X415EA-EK344WS Notebook,"Dual Core, 4 Threads",16,Intel Integrated Intel UHD,Windows 11 OS,14.0,35990,"Dual Core,",Intel,0,512,10.4909964,512,2.0,2073600,102.85714285714286,3,2,2.5500000000000003,6.0,0.7085301472631287,0,0,3,666,17,108,12,10,17
Acer,Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce GTX 3050,Windows 11 OS,15.6,60990,Octa Core,4GB,0,512,11.0184652,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.9427775045089358,1,0,1,96,22,30,12,13,8
Xiaomi,Redmi Book 14 2023 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14.0,43990,12 Cores,Intel,0,512,10.69171761,512,2.0,2073600,102.85714285714286,8,2,4.550000000000001,6.0,1.0343259831779952,0,0,27,509,6,123,12,2,17
Asus,Vivobook 16X 2023 K3605ZF-MB541WS Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,16.0,62990,Octa Core,4GB,0,512,11.05073126,512,2.0,2073600,90.0,8,5,5.45,6.0,0.8652167010636609,1,0,3,712,22,31,12,13,8
MSI,GF63 Thin 11UC-1294IN Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,65990,"Octa Core,",4GB,0,0,11.09725849,256,2.0,2073600,92.3076923076923,8,6,5.625,6.0,0.8524018790725867,1,0,15,175,24,33,12,14,8
Infinix,INBook Y1 Plus Neo XL30 Laptop,"Quad Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,23990,"Quad Core,",Intel,0,512,10.08539236,512,2.0,2073600,92.3076923076923,5,2,3.1,6.0,1.2922050854522718,0,0,12,215,27,112,12,16,17
Asus,TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,61990,"Hexa Core,",4GB,0,512,11.03472836,512,2.0,2073600,92.3076923076923,6,6,4.95,6.0,0.7985158896596226,1,0,3,537,19,33,12,12,8
Dell,Inspiron 3525 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Radeon Graphics,Windows 11 OS,15.6,36990,"Quad Core,",AMD,0,512,10.51840288,512,2.0,2073600,92.3076923076923,5,3,3.4,6.0,0.9191673425250068,0,0,6,306,28,83,12,16,12
Asus,Vivobook 16X 2022 M1603QA-MB511WS Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Vega 7 Graphics,Windows 11 OS,16.0,50970,"Hexa Core,",AMD,0,512,10.8389925,512,2.0,2073600,90.0,6,3,4.050000000000001,6.0,0.7945850500294291,0,0,3,707,19,86,12,12,12
Dell,Precision 5550 Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA ,Windows 10 OS,15.6,184999,"Hexa Core,",4GB,0,512,12.1281057,512,2.0,2073600,92.3076923076923,6,3,4.050000000000001,6.0,0.21892010227082312,0,0,6,474,19,25,10,12,8
HP,Omen 16-XD0007ax Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,16.1,109990,"Octa Core,",6GB,0,1000,11.60814473,1000,2.0,2073600,89.44099378881987,8,7,6.288281250000001,6.0,0.5717139058096191,1,0,9,417,24,53,12,14,9
Zebronics,Pro Series Z ZEB-NBC 4S Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated,Windows 11 OS,15.6,42990,10 Cores,Intel,0,512,10.66872281,512,2.0,2073600,92.3076923076923,7,2,4.15,6.0,0.9653407769248662,0,0,28,488,1,102,12,0,17
HP,15s-fq5185TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,39150,Hexa Core,Intel,0,512,10.5751557,512,2.0,2073600,92.3076923076923,6,2,3.5000000000000004,6.0,0.8939974457215838,0,0,9,40,18,112,12,11,17
Acer,Swift Go NXKPZSI002 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14.0,92999,12 Cores,Intel,0,512,11.44034402,512,2.0,2073600,102.85714285714286,8,2,4.550000000000001,6.0,0.48925257260830773,0,0,1,523,6,111,12,2,17
HP,Victus 16-s0095AX Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16.1,80990,"Octa Core,",6GB,0,512,11.30208097,512,2.0,2073600,89.44099378881987,8,6,5.75,6.0,0.7099641931102605,1,0,9,659,24,50,12,14,9
HP,Victus 15-FB1001AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,55850,"Hexa Core,",4GB,0,512,10.9304248,512,2.0,2073600,92.3076923076923,6,5,4.4,6.0,0.7878245299910475,1,0,9,627,19,31,12,12,8
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,"Quad Core, 8 Threads",8,Intel Iris XE Graphics ,Windows 11 OS,15.6,38990,"Quad Core,",Intel,0,512,10.57106048,512,2.0,2073600,92.3076923076923,5,2,3.1,6.0,0.7950756604257502,0,0,1,104,28,120,12,16,17
MSI,Thin GF63 11UCX-1492IN Gaming Laptop,"Hexa Core, 12 Threads",16,GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,53990,"Hexa Core,",GB,0,0,10.89655412,256,2.0,2073600,92.3076923076923,6,5,4.525,6.0,0.8381181700314874,1,0,15,558,19,92,12,12,15
Infinix,INBook X3 Slim XL422 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14.0,38990,10 Cores,Intel,0,512,10.57106048,512,2.0,2073600,102.85714285714286,7,2,4.15,6.0,1.0643754808925365,0,0,12,212,1,111,12,0,17
HP,Omen 16-xf0060AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16.0,139234,"Octa Core,",8GB,0,1000,11.84391125,1000,2.0,2073600,90.0,8,8,6.58828125,6.0,0.4731804911156757,1,0,9,431,24,63,12,14,11
